iso_code,total_cases_per_million
ABW,945.9939999999999
AFG,103.601
AGO,1.308
AIA,199.97299999999998
ALB,297.449
AND,9758.623
ARE,1761.001
ARG,127.512
ARM,1071.464
ATG,255.29
AUS,271.72700000000003
AUT,1751.754
AZE,238.875
BDI,1.598
BEL,4538.2
BEN,23.426
BES,228.824
BFA,35.784
BGD,83.61200000000001
BGR,281.358
BHR,2805.623
BHS,233.949
BIH,630.941
BLR,2333.7129999999997
BLZ,45.269
BMU,1894.882
BOL,208.77200000000002
BRA,733.625
BRB,292.305
BRN,322.298
BTN,9.072000000000001
BWA,9.78
CAF,29.608
CAN,1793.8029999999999
CHE,3485.7690000000002
CHL,1423.87
CHN,58.354
CIV,63.196000000000005
CMR,85.663
COD,11.065
COG,52.011
COL,206.25799999999998
COM,12.65
CPV,424.47
CRI,153.118
CUB,154.856
CUW,97.50200000000001
CYM,1232.502
CYP,1018.382
CZE,755.908
DEU,2019.695
DJI,1203.4389999999999
DMA,222.25
DNK,1781.533
DOM,910.959
DZA,126.74700000000001
ECU,1647.73
EGY,87.595
ERI,10.997
ESH,10.045
ESP,4781.928
EST,1306.407
ETH,1.827
FIN,1061.234
FJI,20.079
FLK,3732.415
FRA,2127.264
FRO,3826.87
GAB,296.981
GBR,3170.9040000000005
GEO,156.925
GGY,0.0
GHA,137.19299999999998
GIB,4333.502
GIN,155.489
GMB,8.276
GNB,325.712
GNQ,312.904
GRC,260.001
GRD,186.635
GRL,193.757
GTM,53.975
GUM,894.64
GUY,123.322
HKG,0.0
HND,184.762
HRV,530.0509999999999
HTI,13.243
HUN,337.772
IDN,49.886
IMN,3880.8920000000003
IND,45.608000000000004
IRL,4609.344
IRN,1264.63
IRQ,66.605
ISL,5277.656
ISR,1900.979
ITA,3610.013
JAM,168.17700000000002
JEY,0.0
JOR,51.161
JPN,124.505
KAZ,268.205
KEN,12.07
KGZ,153.582
KHM,7.297000000000001
KNA,281.997
KOR,212.09599999999998
KWT,1785.011
LAO,2.611
LBN,118.527
LBR,39.346
LBY,9.314
LCA,98.024
LIE,2176.364
LKA,39.555
LTU,530.436
LUX,6193.528
LVA,493.05400000000003
MAR,160.11700000000002
MCO,2446.234
MDA,1206.506
MDG,6.97
MDV,1461.496
MEX,259.515
MKD,778.543
MLI,34.171
MLT,1109.755
MMR,3.2710000000000004
MNE,515.873
MNG,12.812000000000001
MNP,277.985
MOZ,2.784
MRT,1.7209999999999999
MSR,2200.44
MUS,261.05400000000003
MWI,2.927
MYS,203.578
NAM,6.297000000000001
NCL,63.049
NER,33.668
NGA,20.137
NIC,2.415
NLD,2473.435
NOR,1488.404
NPL,3.741
NZL,237.234
OMN,631.337
PAK,133.391
PAN,1919.454
PER,1971.8339999999998
PHL,96.823
PNG,0.894
POL,413.538
PRI,759.567
PRT,2687.73
PRY,96.6
PSE,107.225
PYF,213.59599999999998
QAT,7403.871999999999
RKS,450.13
ROU,786.529
RUS,1361.406
RWA,21.618000000000002
SAU,1066.701
SDN,26.545
SEN,97.588
SGP,3839.091
SLE,36.48
SLV,137.06
SMR,18769.521
SOM,62.731
SRB,1474.2979999999998
SSD,12.775
STP,949.074
SUR,17.046
SVK,266.501
SVN,699.398
SWE,2566.621
SWZ,140.497
SXM,1772.305
SYC,111.85700000000001
SYR,2.6860000000000004
TCA,309.933
TCD,19.602999999999998
TGO,18.480999999999998
THA,43.037
TJK,64.167
TLS,18.203
TTO,82.887
TUN,87.32
TUR,1625.759
TWN,18.474
TZA,8.521
UGA,2.536
UKR,336.353
URY,202.088
USA,3956.2859999999996
UZB,71.319
VAT,14833.127
VCT,153.226
VEN,14.137
VGB,231.50400000000002
VIR,660.7739999999999
VNM,2.9589999999999996
YEM,1.14
ZAF,158.83
ZMB,13.708
ZWE,2.4219999999999997
OWID_WRL,511.38199999999995
0,0.0
